blockGroup,marketCategory,sales20092010,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,ownerOccupied
2402001,Regional Choice,99,8466.67,1,2,0,5,65.2
2102001,Middle Market Stressed,90,6241.67,0,7,8,8,47.9
103002,Regional Choice,87,22000,1,0,2,6,41.3
2102002,Middle Market Stressed,83,670.89,1,6,9,8,49.9
101001,Regional Choice,79,15225,0,0,0,3,78
603002,Regional Choice,76,12125,0,6,3,5,48.9
2401001,Regional Choice,74,1780.49,1,9,1,5,75.7
602004,Middle Market Stressed,72,13950,3,3,8,8,42
101002,Regional Choice,69,11975,1,1,1,5,69.4
102003,Regional Choice,67,16400,0,0,0,3,77.4
601002,Middle Market,65,13700,0,0,2,7,47.6
2302002,Regional Choice,64,14625,1,2,2,4,67.1
104002,Regional Choice,64,12875,0,2,0,6,42.9
2610004,Middle Market Choice,62,11125,1,0,0,5,62.1
201002,Regional Choice,62,15950,1,1,0,3,55.9
701002,Distressed,62,13375,0,1,8,6,34.4
104001,Regional Choice,61,8383.33,1,1,0,3,61.5
105002,Regional Choice,60,16300,1,1,1,7,50.6
2303001,Regional Choice,60,13850,1,2,1,5,63.3
2604043,Middle Market Stressed,59,2752.94,0,2,3,9,40.4
2101002,Middle Market Stressed,58,11700,1,4,9,8,51.1
601003,Middle Market,57,14600,1,0,4,8,57.8
2302001,Regional Choice,56,11075,1,1,0,3,55.3
203001,Regional Choice,55,8983.33,0,17,1,3,40.2
103001,Regional Choice,54,2204.55,0,3,1,4,76.6
202002,Middle Market Choice,54,9940,0,2,1,6,51.7
1503004,Middle Market Stressed,53,3333.33,0,10,25,3,24.3
2608002,Middle Market Stressed,53,7383.33,0,1,2,8,51.5
2401002,Regional Choice,53,1369.7,0,3,1,3,74.9
2704011,Middle Market,53,4005,0,3,0,8,60.8
2608001,Middle Market Stressed,52,8900,0,1,2,9,36.3
603001,Middle Market Stressed,51,5800,1,18,19,6,26.4
102001,Middle Market Choice,51,12300,1,0,2,8,68.8
1306004,Middle Market Choice,50,2672.22,0,5,0,2,75.1
2609001,Regional Choice,50,4050,0,5,0,5,69.6
906002,Distressed,50,8300,0,4,21,7,38.7
602005,Middle Market Stressed,50,9800,0,0,17,15,23.7
2402002,Regional Choice,49,9000,1,12,0,2,74.9
2301002,Regional Choice,48,6185.71,1,1,1,3,65.4
101003,Regional Choice,47,6100,0,3,0,3,78.6
602001,Middle Market Stressed,47,7650,0,1,12,13,36.1
2404001,Regional Choice,47,17950,1,29,0,1,84.7
2501012,Middle Market,46,3171.43,7,2,0,6,73.7
2303002,Middle Market Choice,46,485.42,1,14,1,8,64.9
602002,Middle Market Choice,46,12700,1,0,2,7,57.8
2609002,Regional Choice,45,9850,0,0,1,3,74.9
2609003,Regional Choice,45,8600,1,1,0,6,32.6
2705024,Middle Market Choice,45,2850,0,2,0,6,70.4
1803002,Middle Market Stressed,45,9960,1,16,7,7,33.2
902001,Middle Market Choice,44,1061.4,0,1,0,4,82.5
602003,Middle Market Choice,42,13200,0,1,2,6,54.7
2603024,Middle Market Stressed,42,10400,0,0,0,6,70
903004,Middle Market Stressed,42,9316.67,0,3,1,9,56.5
2601025,Middle Market Choice,42,2829.41,0,2,1,9,74.6
2611001,Regional Choice,41,10000,1,0,1,5,65.8
904001,Middle Market Stressed,40,6260,0,11,2,8,30.9
2201004,Regional Choice,40,7071.43,1,2,0,1,65.6
703001,Distressed,39,3500,0,5,55,7,24.3
2006001,Distressed,39,764,0,8,7,6,58.4
808003,Distressed,38,6140,4,23,27,4,18.9
907003,Distressed,38,7280,0,2,10,6,45.6
2705014,Middle Market Choice,38,3676.47,0,1,0,4,82.2
2505004,Middle Market Stressed,37,8235.71,0,6,2,7,22.1
801023,Distressed,37,11633.33,0,0,5,8,48.3
1308042,Middle Market Choice,37,2941.18,0,8,1,3,65.9
2504011,Middle Market Stressed,37,3052.38,0,7,3,7,43.4
1207001,Middle Market Choice,37,4500,0,1,0,3,60.9
2404004,Regional Choice,37,13300,1,2,1,2,78.8
901005,Middle Market Stressed,36,9233.33,0,4,7,8,48.9
2404005,Regional Choice,36,11500,6,3,1,2,82.2
2704012,Middle Market Choice,36,4200,0,10,0,7,64.8
2705023,Middle Market Choice,36,3183.33,1,1,0,5,86.3
2708014,Middle Market Choice,36,5550,0,10,0,4,82.3
1902003,Distressed,36,5640,0,10,21,7,34.4
1307004,Regional Choice,36,10371.43,1,6,1,3,36
1306002,Middle Market Choice,36,12833.33,1,1,1,4,61.8
2502054,Middle Market Stressed,35,2022.73,0,8,2,8,56.6
2714001,Regional Choice,35,2170.37,1,3,0,1,70
2712003,Regional Choice,35,2806.67,0,2,0,2,86
702002,Distressed,35,13350,0,0,8,11,39
1608022,Distressed,34,5300,0,12,9,7,59
2101003,Middle Market Stressed,34,673.17,0,12,4,7,53.3
1203002,Middle Market Stressed,34,11466.67,1,1,10,4,41.4
2501032,Middle Market Choice,34,1190,0,5,0,4,88.8
1207002,Middle Market Stressed,34,7160,0,2,7,7,47.1
1207003,Middle Market Stressed,33,1255.56,0,7,2,4,53.2
2708031,Middle Market Choice,33,2490.7,0,1,0,4,56
1306001,Middle Market Choice,33,7783.33,0,5,0,2,58.5
102004,Middle Market Choice,33,5016.67,1,0,1,7,69.2
102002,Regional Choice,32,14100,0,0,2,5,77.2
2504021,Middle Market Stressed,32,8057.14,0,3,6,6,32.9
1607002,Distressed,32,7275,0,3,9,7,51
2611002,Regional Choice,32,11133.33,0,0,0,4,70.2
2708011,Middle Market Choice,32,6983.33,0,2,0,4,70.3
2101001,Middle Market Choice,32,4766.67,1,9,1,4,66
907001,Distressed,32,6600,0,6,15,8,42.9
1308033,Middle Market Choice,32,5825,0,7,0,3,80.4
2602023,Middle Market,32,5090.91,0,1,0,6,78.8
2709023,Middle Market Choice,32,5200,0,0,0,4,89.3
2403003,Regional Choice,32,15350,1,0,0,3,69.1
1502002,Distressed,32,6933.33,3,17,22,2,30.5
2503011,Distressed,31,461.54,1,17,13,5,47.5
801013,Middle Market Stressed,31,7720,0,0,1,6,61.6
702003,Distressed,31,12900,0,0,21,10,26.3
2611003,Regional Choice,31,12900,5,3,0,2,72.7
2708033,Middle Market Choice,31,3771.43,0,0,0,5,66.6
2610002,Distressed,31,6175,0,1,4,8,27.1
2003004,Distressed,30,7500,0,13,22,9,28.5
1608024,Distressed,30,8600,0,5,4,8,56.5
2605011,Middle Market,30,1366.67,0,1,0,2,53.5
2008001,Middle Market Stressed,30,1457.14,0,8,6,9,40.9
2403002,Regional Choice,30,18450,1,2,1,3,67.7
2707032,Middle Market Choice,30,3038.46,0,1,0,5,80.9
2403001,Regional Choice,30,13500,1,2,0,3,45.5
2709021,Middle Market,30,2576.19,0,0,0,4,90
2505002,Middle Market Stressed,30,2100,0,10,2,5,47.5
2504023,Middle Market Stressed,30,4663.64,0,4,4,4,43.2
2502062,Middle Market,30,1173.33,0,10,1,7,81.7
2610003,Middle Market Stressed,29,12200,0,0,3,9,35.5
2603014,Middle Market Stressed,29,9366.67,0,0,1,13,56.7
1202002,Regional Choice,29,6885.71,0,1,0,1,58.2
1306003,Middle Market Choice,29,7016.67,0,4,0,4,64.4
2601024,Middle Market Choice,29,3208.33,0,5,0,6,84.3
105001,Regional Choice,29,16000,2,2,1,2,41.8
906004,Middle Market Stressed,29,6560,0,0,3,8,68
1903003,Distressed,29,7400,0,10,33,7,33.1
2604042,Distressed,29,260,0,11,3,5,45.9
701001,Distressed,29,5171.43,0,0,7,5,44.5
702004,Distressed,29,7700,1,13,18,9,33.2
803013,Distressed,29,6866.67,0,2,11,7,47.8
702005,Distressed,29,9900,0,0,21,5,33.4
2705013,Middle Market Choice,29,2788.24,0,3,0,3,87.2
2705022,Middle Market Choice,29,3500,0,1,0,6,68.3
2005004,Distressed,28,2718.18,0,3,7,4,47.9
2606052,Middle Market,28,3970.59,1,10,0,4,59.4
2606051,Middle Market Choice,28,2893.75,1,18,1,4,84.9
1507021,Middle Market Stressed,28,7366.67,0,1,3,5,72.5
2701022,Middle Market,28,3850,2,1,2,9,69.9
901001,Middle Market Stressed,28,7283.33,0,6,1,7,50.3
1201001,Regional Choice,28,2514.29,1,2,1,2,85.2
601004,Middle Market Stressed,28,9700,0,0,10,6,41.5
1512001,Distressed,28,7790,1,3,9,4,29.3
1509001,Distressed,27,4857.14,0,10,7,6,60.9
1504004,Distressed,27,8650,0,4,36,5,34.4
1503002,Distressed,27,5760,0,2,6,5,62.7
1502005,Distressed,27,10700,0,2,19,7,38.6
2712002,Regional Choice,27,3347.06,0,6,0,4,55.7
801014,Middle Market Stressed,27,9050,0,7,2,7,71.1
805001,Distressed,27,4250,0,7,20,4,49.9
2501033,Middle Market Choice,27,2306.67,0,6,1,8,82.3
2404003,Middle Market Choice,27,4250,1,1,1,3,70.5
1303002,Distressed,27,5675,0,10,25,7,32.3
1304003,Distressed,27,5920,0,1,14,5,43.7
2712005,Regional Choice,26,1386.36,0,4,0,1,96.5
803015,Distressed,26,7250,0,10,30,5,43.5
2706001,Middle Market Choice,26,3058.33,0,4,0,8,81.6
2602031,Middle Market Choice,26,2820,0,5,0,4,57.1
2603013,Middle Market Stressed,26,7550,0,6,2,6,56.4
2603015,Middle Market Stressed,26,5533.33,0,0,1,9,62.5
2804033,Regional Choice,26,5231.25,0,7,0,4,43.5
908001,Distressed,26,1575,1,9,15,5,43.3
2605013,Middle Market,26,10660,0,0,0,4,51.3
1604005,Distressed,26,6066.67,0,7,42,3,42
2718011,Distressed,26,4137.5,0,6,15,7,39.1
1203004,Middle Market Stressed,26,7514.29,0,6,10,6,27.3
1509004,Middle Market Stressed,26,1145.16,0,10,5,7,62.5
2718013,Middle Market Stressed,25,5733.33,0,6,4,5,63.3
2602013,Middle Market Stressed,25,3170,0,6,1,10,64.5
808004,Distressed,25,3700,4,10,47,0,44.9
2007022,Distressed,25,6300,0,7,6,8,72.4
2006003,Middle Market Stressed,25,8625,0,5,5,6,69.6
2704021,Middle Market,25,2988.89,0,1,0,9,85.3
2005005,Distressed,25,7775,0,13,14,6,23.6
2704024,Middle Market Choice,25,3406.67,0,1,1,7,65.1
2005001,Distressed,25,7350,0,2,32,7,30.7
2705012,Middle Market Choice,25,2373.33,0,5,0,4,84.3
2706004,Middle Market Choice,25,3553.85,0,4,1,7,65.4
2708055,Middle Market Choice,25,2873.33,0,7,0,5,80.2
2713001,Regional Choice,25,1029.03,1,13,0,2,57.3
1506002,Distressed,25,4700,0,4,13,4,59.4
2716004,Distressed,25,3825,0,29,19,3,45.2
1604002,Distressed,25,8833.33,0,5,27,6,39.9
1511002,Middle Market,25,5800,0,2,1,3,48.8
2502052,Middle Market,25,5050,0,1,0,5,68
1512005,Distressed,24,5040,0,10,17,6,49.9
2201001,Regional Choice,24,2853.33,1,6,0,4,30
2701012,Middle Market,24,1259.26,0,2,1,10,63.3
1307005,Regional Choice,24,5870,1,8,0,2,65
2601014,Middle Market,24,2954.55,0,7,1,10,57.1
2712006,Regional Choice,24,1320.51,1,6,0,1,87
1606005,Distressed,24,7400,0,3,13,4,59.2
2804014,Middle Market,24,3566.67,0,1,0,5,90.4
2607001,Middle Market Choice,24,1640,0,14,1,4,52
1308041,Middle Market Choice,24,3766.67,0,11,1,3,58
2705011,Middle Market Choice,23,750,0,16,0,6,75.5
803014,Distressed,23,2350,0,30,38,5,29.8
2004004,Distressed,23,3850,0,17,24,3,37.2
1512003,Distressed,23,3642.86,0,5,17,7,48.6
2709013,Middle Market,23,11444.44,0,0,0,6,34.8
2701024,Middle Market Choice,23,3621.43,0,2,0,5,77.8
1902001,Middle Market Stressed,23,7060,2,4,14,15,33.8
1607006,Distressed,23,11450,0,5,9,9,53
1303003,Distressed,23,5733.33,0,14,23,3,33.8
2714002,Regional Choice,23,4533.33,1,7,0,1,53.9
803023,Distressed,23,10200,0,0,3,4,52.1
1502001,Distressed,23,8100,1,4,30,6,37.5
2718023,Distressed,23,6050,0,5,21,4,47
2006002,Distressed,23,1700,0,12,5,5,54.8
2602024,Middle Market Stressed,23,5937.5,0,1,1,7,63.1
2801025,Middle Market Choice,23,3162.5,0,3,0,5,77.9
2701023,Middle Market,22,3380,0,5,1,10,64.8
201001,Regional Choice,22,12166.67,1,1,2,4,43.3
801012,Middle Market,22,6480,0,5,1,7,78.1
805003,Distressed,22,2137.5,0,10,20,3,57.5
901003,Middle Market,22,5387.5,0,3,0,4,73.1
909002,Distressed,22,5200,0,9,28,3,33.4
1202001,Regional Choice,22,6683.33,0,2,1,3,61.8
1203003,Middle Market Stressed,22,10133.33,1,1,9,7,44
1308061,Middle Market,22,970.91,1,25,0,6,68.6
1402002,Distressed,22,9600,1,14,18,9,19
1506003,Distressed,22,5875,0,8,22,8,48.9
1513004,Distressed,22,2650,0,9,13,5,54.8
1606001,Distressed,22,6966.67,0,4,21,5,42.8
1607003,Distressed,22,7466.67,0,3,15,6,55.9
1903004,Distressed,22,4116.67,0,6,14,3,37.3
2007012,Distressed,22,9250,0,2,2,5,72
2601012,Middle Market Choice,22,3233.33,0,7,0,6,83.4
2601022,Middle Market,22,4528.57,0,1,0,7,80.1
2602011,Middle Market,22,2450,0,2,1,9,72.6
2602021,Middle Market Stressed,22,6150,0,2,3,11,61.1
2708025,Middle Market Choice,22,4600,0,0,1,5,77.8
2801022,Middle Market,22,2723.08,1,6,2,7,67.2
2708021,Middle Market Choice,21,4914.29,0,1,0,7,89.9
2002001,Distressed,21,3342.86,0,6,6,4,59.5
2709032,Middle Market Choice,21,6633.33,0,5,0,3,34.4
1608023,Middle Market Stressed,21,6933.33,0,1,1,5,78
2501022,Middle Market Choice,21,6325,0,4,1,5,58.5
2712004,Regional Choice,21,960.61,1,4,0,2,93.7
2711022,Regional Choice,21,1352.63,0,3,0,3,88.5
2708043,Regional Choice,21,4814.29,0,4,0,3,59.4
203002,Regional Choice,21,5035.71,0,7,0,4,29.8
2701011,Regional Choice,21,3411.11,1,0,0,3,86.8
1203001,Middle Market Stressed,21,13933.33,0,0,1,4,39.4
704001,Distressed,21,1625,0,54,25,0,35.4
805002,Distressed,21,11200,0,0,17,5,47.2
1510002,Middle Market Stressed,21,3940,0,5,4,8,55.3
2610001,Distressed,21,12450,0,0,4,11,35.3
1608012,Middle Market Stressed,21,7933.33,0,0,0,4,73.2
2503012,Distressed,21,4250,0,5,13,1,42.4
2504024,Middle Market Stressed,21,6033.33,0,5,4,7,56.7
807004,Distressed,21,2633.33,3,49,18,5,47.3
907002,Distressed,21,6900,0,11,19,6,35.2
2605015,Middle Market Choice,21,7271.43,0,4,1,3,57.2
2502063,Middle Market Choice,21,1540,0,14,1,4,75.4
1204001,Middle Market Stressed,20,7000,2,20,21,4,23.5
2601023,Middle Market Choice,20,2460,0,2,1,7,71.8
1501002,Distressed,20,6060,1,13,13,3,44.5
1508004,Middle Market Stressed,20,3340,0,6,5,13,43.5
1308032,Middle Market Choice,20,10085.71,0,10,0,2,50.8
2804041,Middle Market Choice,20,6046.67,0,12,0,4,41
2604021,Middle Market Stressed,20,3326.32,0,11,0,9,42.1
2603012,Middle Market Stressed,20,6166.67,0,1,1,6,71.8
2720011,Middle Market,20,5772.73,0,2,0,4,30.4
2603026,Middle Market Stressed,20,5200,0,0,1,7,64.8
2001003,Distressed,20,6366.67,0,5,22,3,33
902002,Middle Market Choice,20,2957.14,0,1,0,5,80.5
2007014,Distressed,20,1280,0,10,6,8,59.2
2707031,Middle Market Choice,20,4555.56,0,3,0,5,66.6
2715011,Regional Choice,20,762.5,0,21,0,3,85.7
202001,Regional Choice,20,10000,4,6,2,5,40.6
903005,Regional Choice,20,9750,0,0,1,2,84.9
2718012,Distressed,20,7983.33,0,5,12,6,25.4
1607004,Distressed,20,3118.75,0,9,7,5,46.6
1604003,Distressed,20,6750,0,11,34,6,29.6
703003,Distressed,20,3720,0,13,25,5,33.6
2007013,Middle Market Stressed,20,9325,0,2,1,4,72.4
1507022,Middle Market Stressed,20,7925,0,2,6,4,70.7
2008003,Distressed,20,2685.71,0,6,4,6,50.8
2710025,Middle Market Stressed,19,4485.71,0,7,9,5,53.2
2720034,Regional Choice,19,2557.69,1,4,0,4,63.6
2502042,Distressed,19,11256.25,0,2,7,4,10.5
1509002,Middle Market Stressed,19,4537.5,0,9,5,6,61.3
2704013,Middle Market,19,2936.36,0,5,0,7,75.5
2717005,Distressed,19,7966.67,1,3,15,7,44.1
2002004,Distressed,19,5633.33,0,4,28,5,41
2002003,Distressed,19,6100,0,3,17,4,47.6
2709012,Middle Market Choice,19,6128.57,0,1,0,2,88.1
2001004,Distressed,19,7650,0,2,16,8,47.3
2603022,Middle Market,19,9875,0,0,0,4,76.5
2602012,Middle Market,19,2526.67,0,7,0,9,56.8
2716003,Middle Market Stressed,19,6625,0,13,3,6,52.6
2710024,Distressed,19,4033.33,0,17,11,8,53.3
2601011,Middle Market Choice,19,2253.33,0,4,1,5,71.3
1606003,Distressed,19,6175,1,1,18,4,57.8
1606004,Distressed,19,8575,0,10,21,4,23
1606006,Distressed,19,3975,0,4,18,4,55.1
2504013,Distressed,19,2600,0,12,3,5,41.3
2007011,Distressed,18,6700,0,14,5,5,64.2
905002,Middle Market Stressed,18,2537.5,1,10,3,7,56.9
2704014,Middle Market Choice,18,3466.67,0,3,0,5,84.5
1403002,Distressed,18,8400,3,22,30,8,29.9
2503021,Middle Market Stressed,18,3620.69,1,14,16,3,41.8
2703012,Middle Market Choice,18,3237.5,0,2,0,3,63.8
1307002,Middle Market Choice,18,3314.29,0,0,1,2,62.7
2003003,Distressed,18,6350,0,7,28,8,26.6
2710023,Middle Market Stressed,18,4320,0,5,5,4,66.3
1506004,Distressed,18,4900,0,9,25,11,47.3
2502061,Middle Market Stressed,18,652,0,13,1,6,70.5
1506001,Distressed,18,4171.43,1,13,16,6,41.1
2801023,Middle Market Choice,18,2650,0,5,3,7,53.7
908006,Distressed,18,4250,1,6,24,4,46.3
1605005,Middle Market Stressed,18,5525,0,2,3,4,52.3
2501031,Middle Market Choice,18,2161.11,0,6,1,3,59.1
2804022,Middle Market,18,2712.5,0,1,1,3,81.6
2603021,Middle Market,18,3928.57,0,2,0,3,82.6
1513002,Distressed,18,5980,0,12,17,6,40.8
2710011,Middle Market Stressed,18,4057.14,1,10,4,5,65.4
2602032,Middle Market,18,2628.57,0,4,1,4,77.7
807003,Distressed,18,5250,1,22,33,3,46.9
2005002,Distressed,18,3100,0,6,19,9,40.9
2703021,Middle Market Choice,18,3611.11,0,6,1,9,63
2804012,Middle Market Choice,18,1721.43,0,9,0,5,90
2801013,Middle Market,17,5075,0,0,0,2,79.4
2706003,Middle Market Choice,17,3128.57,0,5,0,8,80.2
803011,Distressed,17,6600,0,6,21,8,38.6
702001,Distressed,17,5666.67,0,8,29,4,52.6
2702001,Middle Market Choice,17,2411.11,0,4,0,2,78.7
801021,Middle Market Stressed,17,5733.33,0,2,4,10,52.7
1504002,Distressed,17,2600,0,7,4,3,45.7
2701021,Middle Market Choice,17,4557.14,0,1,0,3,88.1
1401001,Regional Choice,17,10771.43,2,2,0,2,22.9
806006,Distressed,17,6366.67,0,15,32,3,51.1
1510007,Middle Market Stressed,17,3933.33,0,4,7,8,58.5
2709031,Middle Market,17,1925,0,4,0,5,69.9
2710021,Middle Market,17,3053.33,1,6,1,4,71.8
801022,Middle Market Stressed,17,2540,0,3,4,9,60.1
2601015,Middle Market Choice,17,2637.5,0,3,0,7,77.5
2503033,Middle Market Stressed,17,3188.89,0,31,2,4,45.1
1607007,Distressed,17,9600,0,4,14,8,33.4
2502053,Middle Market,17,6766.67,0,1,1,5,56.2
2719003,Middle Market,17,3250,0,4,1,6,50.3
2720033,Middle Market Choice,17,3714.29,1,1,1,4,62.6
2713002,Regional Choice,17,1583.33,1,5,0,2,56.6
2501021,Middle Market Stressed,17,2247.06,0,2,1,6,45.4
2201002,Regional Choice,17,8178.57,1,4,0,2,43.6
2719004,Middle Market Choice,17,2711.11,0,4,1,4,75
2007015,Middle Market Stressed,16,9600,0,2,3,6,41.3
2713003,Regional Choice,16,793.33,1,3,0,1,90.5
908005,Distressed,16,4433.33,1,27,26,6,47.6
1302001,Middle Market Choice,16,6440,0,2,10,6,36.6
802002,Distressed,16,5800,0,4,45,4,33.8
2503031,Middle Market Stressed,16,1023.08,0,32,2,4,71.1
2005003,Distressed,16,9750,0,3,19,7,28.8
801011,Regional Choice,16,344.74,0,3,0,2,91.7
1605003,Distressed,16,5700,4,2,19,10,59.3
1307001,Regional Choice,16,9900,0,4,0,0,54.7
2601021,Middle Market,16,4270,0,2,0,3,85.1
2718025,Distressed,16,5075,0,5,16,3,52.3
903001,Middle Market Choice,16,4133.33,0,1,0,3,82
1307003,Regional Choice,16,3327.27,0,1,0,0,55.1
2604031,Middle Market,16,3853.33,0,4,0,6,30.2
2002002,Distressed,16,6700,0,1,25,4,41.4
1511003,Middle Market,16,3930,0,4,0,5,81.3
2606053,Middle Market,16,329.59,0,17,0,6,18.2
2607002,Middle Market,16,9700,0,3,1,2,51.9
1509003,Middle Market Choice,16,2333.33,0,7,2,5,70.3
2703011,Middle Market Choice,16,2966.67,0,2,0,3,59.8
703002,Distressed,16,3350,2,0,47,4,41.9
