datetime,liquor_sales
1980-01-01,480
1980-02-01,467
1980-03-01,514
1980-04-01,505
1980-05-01,534
1980-06-01,546
1980-07-01,539
1980-08-01,541
1980-09-01,551
1980-10-01,537
1980-11-01,584
1980-12-01,854
1981-01-01,522
1981-02-01,506
1981-03-01,558
1981-04-01,538
1981-05-01,605
1981-06-01,583
1981-07-01,607
1981-08-01,624
1981-09-01,570
1981-10-01,609
1981-11-01,675
1981-12-01,861
1982-01-01,605
1982-02-01,537
1982-03-01,575
1982-04-01,588
1982-05-01,656
1982-06-01,623
1982-07-01,661
1982-08-01,668
1982-09-01,603
1982-10-01,639
1982-11-01,669
1982-12-01,915
1983-01-01,643
1983-02-01,563
1983-03-01,616
1983-04-01,645
1983-05-01,703
1983-06-01,684
1983-07-01,731
1983-08-01,722
1983-09-01,678
1983-10-01,713
1983-11-01,725
1983-12-01,989
1984-01-01,687
1984-02-01,629
1984-03-01,687
1984-04-01,706
1984-05-01,754
1984-06-01,774
1984-07-01,825
1984-08-01,755
1984-09-01,751
1984-10-01,783
1984-11-01,804
1984-12-01,1139
1985-01-01,711
1985-02-01,693
1985-03-01,790
1985-04-01,754
1985-05-01,799
1985-06-01,824
1985-07-01,854
1985-08-01,810
1985-09-01,798
1985-10-01,807
1985-11-01,832
1985-12-01,1142
1986-01-01,740
1986-02-01,713
1986-03-01,791
1986-04-01,768
1986-05-01,846
1986-06-01,884
1986-07-01,886
1986-08-01,878
1986-09-01,813
1986-10-01,840
1986-11-01,884
1986-12-01,1245
1987-01-01,796
1987-02-01,750
1987-03-01,834
1987-04-01,838
1987-05-01,902
1987-06-01,895
1987-07-01,962
1987-08-01,990
1987-09-01,882
1987-10-01,936
1987-11-01,997
1987-12-01,1305
1988-01-01,866
1988-02-01,805
1988-03-01,905
1988-04-01,873
1988-05-01,1024
1988-06-01,985
1988-07-01,1049
1988-08-01,1034
1988-09-01,951
1988-10-01,1010
1988-11-01,1016
1988-12-01,1378
1989-01-01,915
1989-02-01,854
1989-03-01,922
1989-04-01,965
1989-05-01,1014
1989-06-01,1040
1989-07-01,1137
1989-08-01,1026
1989-09-01,992
1989-10-01,1052
1989-11-01,1056
1989-12-01,1469
1990-01-01,916
1990-02-01,934
1990-03-01,987
1990-04-01,1018
1990-05-01,1048
1990-06-01,1086
1990-07-01,1144
1990-08-01,1077
1990-09-01,1036
1990-10-01,1076
1990-11-01,1114
1990-12-01,1595
1991-01-01,949
1991-02-01,930
1991-03-01,1045
1991-04-01,1015
1991-05-01,1091
1991-06-01,1142
1991-07-01,1182
1991-08-01,1161
1991-09-01,1145
1991-10-01,1119
1991-11-01,1189
1991-12-01,1662
1992-01-01,1048
1992-02-01,1019
1992-03-01,1129
1992-04-01,1092
1992-05-01,1176
1992-06-01,1297
1992-07-01,1322
1992-08-01,1330
1992-09-01,1263
1992-10-01,1250
1992-11-01,1341
1992-12-01,1927
1993-01-01,1271
1993-02-01,1238
1993-03-01,1283
1993-04-01,1283
1993-05-01,1413
1993-06-01,1371
1993-07-01,1425
1993-08-01,1453
1993-09-01,1311
1993-10-01,1387
1993-11-01,1454
1993-12-01,1993
1994-01-01,1328
1994-02-01,1250
1994-03-01,1308
1994-04-01,1350
1994-05-01,1455
1994-06-01,1442
1994-07-01,1530
1994-08-01,1505
1994-09-01,1421
1994-10-01,1485
1994-11-01,1465
1994-12-01,2163
1995-01-01,1361
1995-02-01,1284
1995-03-01,1392
1995-04-01,1442
1995-05-01,1504
1995-06-01,1488
1995-07-01,1606
1995-08-01,1488
1995-09-01,1442
1995-10-01,1495
1995-11-01,1509
1995-12-01,2135
1996-01-01,1369
1996-02-01,1320
1996-03-01,1448
1996-04-01,1495
1996-05-01,1522
1996-06-01,1575
1996-07-01,1666
1996-08-01,1617
1996-09-01,1567
1996-10-01,1551
1996-11-01,1624
1996-12-01,2367
1997-01-01,1377
1997-02-01,1294
1997-03-01,1401
1997-04-01,1362
1997-05-01,1466
1997-06-01,1559
1997-07-01,1569
1997-08-01,1575
1997-09-01,1456
1997-10-01,1487
1997-11-01,1549
1997-12-01,2178
1998-01-01,1423
1998-02-01,1312
1998-03-01,1465
1998-04-01,1488
1998-05-01,1577
1998-06-01,1591
1998-07-01,1669
1998-08-01,1697
1998-09-01,1659
1998-10-01,1597
1998-11-01,1728
1998-12-01,2326
1999-01-01,1529
1999-02-01,1395
1999-03-01,1567
1999-04-01,1536
1999-05-01,1682
1999-06-01,1675
1999-07-01,1758
1999-08-01,1708
1999-09-01,1561
1999-10-01,1643
1999-11-01,1635
1999-12-01,2240
2000-01-01,1485
2000-02-01,1376
2000-03-01,1459
2000-04-01,1526
2000-05-01,1659
2000-06-01,1623
2000-07-01,1731
2000-08-01,1662
2000-09-01,1589
2000-10-01,1683
2000-11-01,1672
2000-12-01,2361
2001-01-01,1480
2001-02-01,1385
2001-03-01,1505
2001-04-01,1576
2001-05-01,1649
2001-06-01,1684
2001-07-01,1748
2001-08-01,1642
2001-09-01,1571
2001-10-01,1567
2001-11-01,1637
2001-12-01,2397
2002-01-01,1483
2002-02-01,1390
2002-03-01,1562
2002-04-01,1573
2002-05-01,1718
2002-06-01,1752
2002-07-01,1809
2002-08-01,1759
2002-09-01,1698
2002-10-01,1643
2002-11-01,1718
2002-12-01,2399
2003-01-01,1551
2003-02-01,1497
2003-03-01,1697
2003-04-01,1672
2003-05-01,1805
2003-06-01,1903
2003-07-01,1928
2003-08-01,1963
2003-09-01,1807
2003-10-01,1843
2003-11-01,1950
2003-12-01,2736
2004-01-01,1798
2004-02-01,1700
2004-03-01,1901
2004-04-01,1820
2004-05-01,1982
2004-06-01,1957
2004-07-01,2076
2004-08-01,2107
2004-09-01,1799
2004-10-01,1854
2004-11-01,1968
2004-12-01,2364
2005-01-01,1662
2005-02-01,1681
2005-03-01,1725
2005-04-01,1796
2005-05-01,1938
2005-06-01,1871
2005-07-01,2001
2005-08-01,1934
2005-09-01,1825
2005-10-01,1930
2005-11-01,1867
2005-12-01,2553
2006-01-01,1624
2006-02-01,1533
2006-03-01,1676
2006-04-01,1706
2006-05-01,1781
2006-06-01,1772
2006-07-01,1922
2006-08-01,1743
2006-09-01,1669
2006-10-01,1713
2006-11-01,1733
2006-12-01,2369
2007-01-01,1491
2007-02-01,1445
2007-03-01,1643
2007-04-01,1683
2007-05-01,1751
2007-06-01,1774
2007-07-01,1893
2007-08-01,1776
2007-09-01,1743
2007-10-01,1728
2007-11-01,1769
2007-12-01,2431
